id,mssubclass,mszoning,lotarea,lotshape,landcontour,lotconfig,landslope,neighborhood,condition1,bldgtype,housestyle,overallqual,overallcond,roofstyle,exterior2nd,masvnrtype,masvnrarea,extercond,foundation,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtfintype2,bsmtfinsf2,bsmtunfsf,heatingqc,centralair,electrical,1stflrsf,grlivarea,bedroomabvgr,kitchenabvgr,functional,fireplaces,fireplacequ,garagetype,garagefinish,garagearea,garagequal,garagecond,paveddrive,wooddecksf,fence,saletype,saleprice,houseage,yearsafterremod,totalfullbaths,totalhalfbaths,pool,porch
1044,160,RM,1680,4,Lvl,Inside,1,BrDale,0,Twnhs,2Story,6,5,Gable,1,BrkFace,232.0,3,CBlock,3,1,5,387.0,1,0.0,96.0,3,1,1,483,987,2,1,Typ,0,0,Detchd,1,264.0,3,3,Y,0,0,0,85400,37.58333333333326,37.58333333333326,1.0,1.0,0,0
2752,20,RL,7488,3,Lvl,Inside,1,CollgCr,0,1Fam,1Story,7,5,Gable,2,None,0.0,3,PConc,3,3,6,393.0,1,0.0,815.0,5,1,1,1208,1208,2,1,Typ,0,0,Attchd,2,632.0,3,3,Y,105,0,0,183600,1.1666666666667425,1.1666666666667425,2.0,0.0,0,1
807,70,RL,26400,4,Bnk,FR2,1,SawyerW,0,1Fam,2Story,5,7,Gable,1,None,0.0,3,PConc,0,0,0,0.0,0,0.0,0.0,5,1,1,1288,2016,4,1,Mod,1,3,Attchd,1,576.0,3,3,P,0,0,0,131000,129.5,2.5,1.0,0.0,0,0
1177,160,FV,2645,4,Lvl,Inside,1,Somerst,0,Twnhs,2Story,8,5,Gable,4,BrkFace,456.0,3,PConc,3,1,6,813.0,1,0.0,147.0,5,1,1,962,1607,3,1,Typ,0,0,Detchd,1,480.0,3,3,Y,169,0,0,200000,10.0,9.0,3.0,1.0,0,0
1480,20,RL,9627,4,Lvl,Inside,1,CollgCr,0,1Fam,1Story,7,5,Gable,2,None,0.0,3,PConc,3,3,6,24.0,1,0.0,1327.0,5,1,1,1361,1361,3,1,Typ,0,0,Attchd,2,610.0,3,3,Y,0,0,0,193000,1.5,1.5,2.0,0.0,0,1
324,20,RL,10114,4,Lvl,Inside,1,Mitchel,0,1Fam,1Story,5,5,Gable,2,None,0.0,3,PConc,3,3,1,0.0,1,0.0,1430.0,5,1,1,1430,1430,3,1,Typ,0,0,Attchd,2,624.0,3,3,Y,0,0,0,173500,6.25,5.25,2.0,0.0,0,0
1311,70,RM,4571,4,Lvl,Inside,1,OldTown,0,1Fam,2Story,5,5,Gable,6,None,0.0,3,BrkTil,3,1,1,0.0,1,0.0,624.0,2,0,1,624,1344,4,1,Typ,0,0,Detchd,1,513.0,2,2,Y,0,0,0,98000,92.41666666666674,58.41666666666674,1.0,0.0,0,1
770,20,RL,8816,4,Lvl,Corner,1,Sawyer,0,1Fam,1Story,5,6,Gable,2,None,0.0,3,PConc,3,1,3,651.0,1,0.0,470.0,3,1,1,1121,1121,3,1,Typ,0,0,Detchd,1,480.0,3,3,Y,0,3,0,139000,46.5,46.5,2.0,0.0,0,1
2063,20,RL,8197,4,Lvl,Inside,1,Sawyer,0,1Fam,1Story,6,5,Gable,1,BrkFace,148.0,3,CBlock,3,1,1,0.0,1,0.0,660.0,5,1,1,1285,1285,3,1,Typ,1,3,Attchd,2,528.0,3,3,Y,138,3,0,143500,30.333333333333258,30.333333333333258,1.0,1.0,0,0
69,60,FV,8640,4,Lvl,Inside,1,Somerst,0,1Fam,2Story,7,5,Gable,2,None,0.0,3,PConc,3,2,6,24.0,1,0.0,732.0,5,1,1,764,1547,3,1,Typ,0,0,Attchd,1,614.0,3,3,Y,169,0,0,215200,1.5,1.5,2.0,1.0,0,1
2062,20,RL,8724,4,Lvl,Inside,1,Sawyer,0,1Fam,1Story,5,5,Gable,2,None,0.0,3,CBlock,3,1,4,492.0,1,0.0,402.0,4,1,1,894,894,3,1,Typ,1,1,Attchd,3,450.0,3,3,Y,0,0,0,129000,39.41666666666674,39.41666666666674,1.0,0.0,0,0
351,120,RL,5664,3,Lvl,Inside,1,StoneBr,0,TwnhsE,1Story,8,5,Gable,5,None,0.0,3,PConc,3,1,6,1158.0,1,0.0,343.0,5,1,1,1659,1659,2,1,Typ,1,5,Attchd,3,499.0,3,3,Y,212,0,0,278000,9.833333333333258,9.833333333333258,3.0,0.0,0,1
2393,60,RL,12867,3,Lvl,Corner,1,NridgHt,0,1Fam,2Story,8,5,Gable,5,None,0.0,3,PConc,3,3,1,0.0,1,0.0,1209.0,5,1,1,1209,2253,3,1,Typ,1,4,Attchd,3,575.0,3,3,Y,243,0,1,344133,1.5833333333332575,0.5833333333332575,2.0,1.0,0,1
12,20,RL,7980,3,Lvl,Inside,1,Gilbert,0,1Fam,1Story,6,7,Gable,1,None,0.0,4,PConc,3,1,5,935.0,1,0.0,233.0,5,1,1,1187,1187,3,1,Typ,0,0,Attchd,3,420.0,3,3,Y,483,4,0,185000,18.25,3.25,3.0,0.0,0,1
2339,190,RL,34650,4,Bnk,Inside,1,Gilbert,0,2fmCon,1Story,5,5,Hip,1,None,0.0,3,CBlock,3,2,3,1056.0,1,0.0,0.0,3,0,1,1056,1056,3,1,Typ,0,0,Attchd,3,572.0,3,3,Y,264,0,0,145000,51.08333333333326,51.08333333333326,2.0,0.0,0,0
624,20,RL,10573,3,Lvl,Corner,1,NAmes,0,1Fam,1Story,6,6,Hip,4,BrkFace,3.0,3,CBlock,3,1,3,1312.0,1,0.0,141.0,5,1,1,1453,1453,3,1,Typ,1,3,Attchd,2,530.0,3,3,Y,0,4,0,187500,48.33333333333326,48.33333333333326,3.0,0.0,0,1
86,20,RL,8450,4,Lvl,Inside,1,Sawyer,0,1Fam,1Story,5,8,Gable,4,None,0.0,4,CBlock,3,1,6,553.0,4,117.0,224.0,5,1,1,894,894,3,1,Typ,1,4,Detchd,1,336.0,3,3,Y,416,3,0,138500,45.33333333333326,1.3333333333332575,2.0,0.0,0,1
1534,50,RL,11700,3,HLS,Inside,2,Crawfor,0,1Fam,1.5Fin,5,6,Gable,1,None,0.0,3,CBlock,3,1,4,606.0,1,0.0,336.0,5,1,1,1265,1938,4,1,Min2,1,4,Detchd,1,240.0,3,3,Y,0,0,0,198000,71.58333333333326,13.583333333333258,2.0,0.0,0,1
2243,190,C (all),8250,4,Lvl,Inside,1,IDOTRR,0,2fmCon,2Story,5,6,Gable,2,None,0.0,4,CBlock,3,1,1,0.0,1,0.0,957.0,2,0,1,1034,1991,4,2,Typ,0,0,NA,0,0.0,0,0,N,0,0,0,119600,112.5,1.5,2.0,0.0,0,1
1957,50,RL,8064,4,Lvl,Corner,1,NAmes,0,1Fam,1.5Fin,5,7,Gable,4,None,0.0,4,CBlock,3,2,1,0.0,1,0.0,672.0,5,1,1,672,924,3,1,Typ,1,1,Detchd,1,576.0,3,3,Y,0,3,0,122900,58.58333333333326,1.5833333333332575,1.0,0.0,0,0
380,20,RL,9600,4,Lvl,Inside,1,NWAmes,1,1Fam,1Story,8,5,Hip,3,None,0.0,3,PConc,3,1,5,1104.0,1,0.0,1420.0,3,1,1,2524,2524,4,1,Typ,1,4,Attchd,3,542.0,3,3,Y,474,3,0,278000,28.583333333333258,28.583333333333258,3.0,1.0,0,1
2860,70,RL,11435,3,HLS,Corner,2,Crawfor,0,1Fam,2Story,8,7,Gable,6,None,0.0,3,PConc,3,1,1,0.0,1,0.0,792.0,2,1,1,792,1517,3,1,Typ,2,4,Detchd,1,400.0,3,3,Y,0,0,0,230000,77.5,56.5,1.0,0.0,0,0
2517,120,RL,9549,3,Lvl,CulDSac,1,Veenker,0,TwnhsE,1Story,8,5,Hip,3,None,0.0,4,PConc,4,3,2,437.0,6,1057.0,0.0,5,1,1,1494,1494,2,1,Typ,1,4,Attchd,3,481.0,3,3,Y,0,0,0,270000,11.333333333333258,10.333333333333258,2.0,1.0,0,1
1933,20,RL,10950,4,Lvl,Inside,1,NAmes,0,1Fam,1Story,6,6,Hip,1,None,0.0,3,CBlock,3,1,5,441.0,1,0.0,507.0,3,1,1,948,948,2,1,Typ,0,0,Detchd,1,410.0,3,3,N,0,0,0,125000,55.33333333333326,55.33333333333326,1.0,0.0,0,1
820,20,RL,10637,4,Lvl,Inside,1,CollgCr,0,1Fam,1Story,8,5,Hip,2,Stone,336.0,3,PConc,3,4,6,1288.0,1,0.0,417.0,5,1,1,1718,1718,3,1,Typ,1,4,Attchd,2,826.0,3,3,Y,208,0,0,297000,2.75,1.75,3.0,0.0,0,1
675,20,RL,9000,3,HLS,Inside,2,NAmes,0,1Fam,1Story,6,6,Flat,1,BrkFace,82.0,3,CBlock,3,4,1,0.0,1,0.0,160.0,2,1,1,1142,1142,2,1,Typ,1,4,Basment,2,384.0,3,3,Y,0,0,0,113500,51.33333333333326,51.33333333333326,1.0,0.0,0,1
2910,160,RM,2665,4,Lvl,Inside,1,MeadowV,0,TwnhsE,2Story,5,6,Gable,5,None,0.0,3,PConc,3,1,5,548.0,3,173.0,36.0,5,1,1,925,1475,4,1,Typ,1,3,Attchd,2,336.0,3,3,Y,104,0,0,127000,29.583333333333258,29.583333333333258,2.0,0.0,0,1
21,20,RL,11751,3,Lvl,Inside,1,NWAmes,0,1Fam,1Story,6,6,Hip,1,BrkFace,480.0,3,CBlock,3,1,4,705.0,1,0.0,1139.0,5,1,1,1844,1844,3,1,Typ,1,3,Attchd,2,546.0,3,3,Y,0,3,0,190000,33.08333333333326,33.08333333333326,2.0,0.0,0,1
1873,20,RL,9600,4,Lvl,Inside,1,NWAmes,0,1Fam,1Story,7,6,Hip,1,BrkFace,320.0,3,CBlock,3,1,5,916.0,1,0.0,326.0,2,1,1,1242,1242,3,1,Typ,1,3,Attchd,1,528.0,3,3,Y,0,0,0,175500,34.75,34.75,1.0,1.0,0,0
2125,20,RL,8428,2,Lvl,Inside,1,CollgCr,0,1Fam,1Story,5,7,Gable,2,None,0.0,4,PConc,4,1,6,420.0,1,0.0,570.0,5,1,1,990,990,3,1,Typ,0,0,Detchd,1,384.0,3,3,Y,256,0,0,146000,13.583333333333258,13.583333333333258,2.0,0.0,0,0
1489,20,RL,9937,4,Lvl,Inside,1,Edwards,0,1Fam,1Story,5,6,Gable,1,None,0.0,3,CBlock,3,1,4,830.0,2,290.0,136.0,4,1,1,1256,1256,3,1,Typ,0,0,Attchd,3,276.0,3,3,Y,736,0,0,147500,43.5,43.5,2.0,1.0,0,1
2383,20,RL,13891,4,Lvl,Inside,1,NridgHt,0,1Fam,1Story,10,5,Gable,2,None,0.0,3,PConc,4,4,6,1386.0,1,0.0,690.0,5,1,1,2076,2076,2,1,Typ,1,4,Attchd,3,850.0,3,3,Y,216,0,1,465000,0.75,0.75,3.0,1.0,0,1
983,85,RL,9101,3,Lvl,Corner,1,Mitchel,0,1Fam,SFoyer,5,6,Gable,1,BrkFace,104.0,4,PConc,3,3,6,1097.0,1,0.0,0.0,5,1,1,1110,1110,1,1,Typ,1,3,Attchd,3,602.0,3,3,Y,303,0,0,165500,31.583333333333258,31.583333333333258,2.0,0.0,0,1
1325,50,RM,12150,4,Lvl,Inside,1,OldTown,0,1Fam,1.5Fin,5,5,Gable,4,BrkFace,335.0,3,BrkTil,3,1,1,0.0,1,0.0,1050.0,5,0,0,1050,1795,4,1,Typ,0,0,Attchd,1,352.0,2,3,Y,0,0,0,131500,54.91666666666674,54.91666666666674,2.0,0.0,0,0
1378,20,RL,11200,4,Lvl,Inside,1,Sawyer,0,1Fam,1Story,5,5,Hip,1,None,0.0,3,CBlock,3,1,3,906.0,1,0.0,134.0,5,1,1,1040,1040,3,1,Typ,0,0,Detchd,1,384.0,3,3,Y,0,0,0,129500,43.16666666666674,43.16666666666674,2.0,0.0,0,0
1537,70,RL,9670,3,HLS,Inside,2,Crawfor,0,1Fam,2Story,8,6,Gable,6,Stone,40.0,3,PConc,2,1,2,210.0,1,0.0,398.0,3,1,1,983,1873,4,1,Typ,2,4,Detchd,3,786.0,2,3,Y,0,0,0,257076,73.5,58.5,1.0,1.0,0,1
905,50,RL,10998,4,Lvl,Inside,1,Edwards,0,1Fam,1.5Fin,5,5,Gable,1,None,0.0,3,CBlock,3,1,2,408.0,4,420.0,156.0,5,1,1,984,1604,3,1,Min2,0,0,Detchd,1,660.0,3,3,Y,0,0,0,117000,68.58333333333326,49.58333333333326,2.0,0.0,0,1
1532,70,RL,7200,4,HLS,Inside,2,Crawfor,0,1Fam,2Story,7,6,Gable,1,None,0.0,2,BrkTil,3,1,1,0.0,1,0.0,776.0,3,1,1,851,1502,3,1,Typ,1,4,Attchd,2,270.0,3,3,P,0,3,0,149000,77.16666666666674,8.166666666666742,1.0,1.0,0,1
132,20,RL,9920,4,Lvl,Inside,1,NAmes,0,1Fam,1Story,5,5,Gable,1,Stone,110.0,3,CBlock,3,1,3,354.0,2,290.0,412.0,3,1,1,1063,1063,3,1,Typ,0,0,Attchd,2,280.0,3,3,Y,0,3,0,128000,56.16666666666674,56.16666666666674,2.0,0.0,0,1
1078,160,RL,2448,4,Lvl,Inside,1,NridgHt,0,Twnhs,2Story,7,5,Gable,1,Stone,106.0,3,PConc,3,1,1,0.0,1,0.0,764.0,5,1,1,764,1626,2,1,Typ,0,0,BuiltIn,2,474.0,3,3,Y,0,0,0,155000,5.8333333333332575,4.8333333333332575,2.0,1.0,0,1
2511,160,FV,2998,4,Lvl,Inside,1,Somerst,0,TwnhsE,2Story,6,5,Gable,4,BrkFace,513.0,3,PConc,3,1,6,353.0,1,0.0,403.0,5,1,1,768,1524,2,1,Typ,0,0,Detchd,1,440.0,3,3,Y,0,0,0,166000,6.5,6.5,2.0,1.0,0,1
912,50,RL,7804,4,Lvl,Inside,1,SWISU,0,1Fam,1.5Fin,4,3,Gable,1,None,0.0,3,BrkTil,3,1,4,622.0,1,0.0,500.0,3,1,1,1328,1981,4,1,Min2,2,3,Detchd,1,576.0,3,3,Y,431,3,0,135000,82.0,60.0,3.0,0.0,0,1
2351,60,RL,16692,3,Lvl,Inside,1,NWAmes,0,1Fam,2Story,7,5,Gable,1,BrkFace,184.0,3,CBlock,3,1,4,790.0,2,469.0,133.0,3,1,1,1392,2784,5,1,Typ,2,3,Attchd,2,564.0,3,3,Y,0,3,0,250000,28.583333333333258,28.583333333333258,4.0,1.0,1,1
330,160,RM,1476,4,Lvl,Inside,1,MeadowV,0,Twnhs,2Story,4,7,Gable,5,None,0.0,3,CBlock,3,1,6,176.0,1,0.0,370.0,5,1,1,546,1092,3,1,Typ,0,0,NA,0,0.0,0,0,Y,200,0,0,76000,40.25,40.25,1.0,1.0,0,1
2586,20,RL,10170,4,Lvl,Corner,1,NAmes,0,1Fam,1Story,6,6,Hip,1,BrkFace,522.0,3,CBlock,3,1,1,0.0,1,0.0,216.0,3,1,1,1575,1575,2,1,Typ,1,4,Attchd,1,400.0,3,3,Y,0,0,0,155000,55.5,55.5,1.0,1.0,0,0
224,60,RL,9364,4,Lvl,Corner,1,Sawyer,0,1Fam,2Story,6,7,Gable,1,Stone,143.0,3,CBlock,3,1,5,371.0,1,0.0,292.0,3,1,1,663,1352,4,1,Typ,0,0,Attchd,3,299.0,3,3,Y,379,3,0,158000,41.25,41.25,1.0,1.0,0,1
98,160,FV,2544,4,Lvl,Inside,1,Somerst,0,Twnhs,2Story,7,5,Gable,4,None,0.0,3,PConc,3,1,6,368.0,5,42.0,190.0,5,1,1,600,1200,2,1,Typ,0,0,Detchd,2,480.0,3,3,Y,0,0,0,149500,6.1666666666667425,5.1666666666667425,3.0,1.0,0,1
2565,20,RL,9888,4,Lvl,Inside,1,NAmes,0,1Fam,1Story,5,6,Gable,4,None,0.0,4,CBlock,3,1,4,486.0,1,0.0,450.0,3,1,0,936,936,2,1,Typ,0,0,Attchd,1,240.0,3,3,Y,0,3,0,121000,52.25,31.25,1.0,0.0,0,1
1934,20,RL,7942,4,Lvl,Inside,1,NAmes,0,1Fam,1Story,6,7,Hip,1,None,0.0,3,CBlock,3,1,3,85.0,5,955.0,0.0,3,1,0,1040,1040,3,1,Typ,0,0,Attchd,3,293.0,3,3,Y,0,3,0,136000,54.5,54.5,1.0,1.0,0,0
997,60,RL,15038,2,Lvl,Corner,1,Gilbert,0,1Fam,2Story,6,5,Gable,1,None,0.0,3,PConc,3,1,3,138.0,1,0.0,778.0,4,1,1,916,1636,3,1,Typ,1,3,Attchd,3,386.0,3,3,Y,168,0,0,173000,12.916666666666742,12.916666666666742,2.0,1.0,0,1
64,60,RL,11764,3,Lvl,CulDSac,1,NoRidge,0,1Fam,2Story,8,7,Gable,2,BrkFace,348.0,3,PConc,3,1,6,524.0,1,0.0,628.0,5,1,1,1164,2270,4,1,Typ,1,4,Attchd,3,671.0,3,3,Y,132,0,0,290000,11.333333333333258,3.3333333333332575,2.0,1.0,0,1
1799,60,FV,9000,4,Lvl,Inside,1,Somerst,0,1Fam,2Story,8,5,Gable,5,None,0.0,3,PConc,3,3,6,64.0,1,0.0,1120.0,5,1,1,1184,2610,4,1,Typ,1,4,BuiltIn,3,550.0,3,3,Y,208,0,1,303477,0.6666666666667425,0.6666666666667425,2.0,1.0,0,1
230,20,RL,20062,3,Low,Inside,2,ClearCr,0,1Fam,1Story,7,7,Hip,1,None,0.0,4,CBlock,3,4,5,1092.0,1,0.0,328.0,4,1,1,1483,1483,1,1,Typ,2,3,Attchd,2,690.0,3,3,Y,496,0,0,270000,33.33333333333326,9.333333333333258,2.0,1.0,0,0
1295,50,RM,7308,4,Lvl,Corner,1,OldTown,0,1Fam,1.5Fin,5,5,Gable,1,None,0.0,2,BrkTil,3,1,3,360.0,1,0.0,576.0,4,0,0,960,1740,2,1,Typ,1,4,Detchd,1,225.0,2,2,N,0,0,0,122250,88.5,58.5,1.0,0.0,0,1
638,20,RL,8750,4,Lvl,Inside,1,NAmes,0,1Fam,1Story,5,5,Gable,6,None,0.0,3,CBlock,3,1,3,172.0,2,483.0,727.0,4,1,0,1382,1382,3,1,Typ,0,0,Attchd,1,350.0,3,3,Y,280,2,0,153000,54.58333333333326,54.58333333333326,1.0,1.0,0,0
2278,20,RL,8402,4,Lvl,Inside,1,Mitchel,0,1Fam,1Story,5,5,Gable,2,None,0.0,3,PConc,3,1,5,206.0,1,0.0,914.0,5,1,1,1120,1120,3,1,Typ,0,0,NA,0,0.0,0,0,Y,0,0,1,147000,1.0,1.0,1.0,0.0,0,1
2202,70,RL,4000,4,Lvl,Inside,1,Crawfor,0,1Fam,2Story,7,8,Gable,1,None,0.0,3,BrkTil,3,1,6,246.0,1,0.0,285.0,3,1,1,567,1098,2,1,Typ,1,4,Detchd,1,216.0,3,3,Y,0,3,0,148500,77.5,12.5,2.0,0.0,0,0
2833,160,RM,3363,4,Lvl,Inside,1,Edwards,0,TwnhsE,2Story,7,5,Gable,2,Stone,117.0,3,PConc,3,1,1,0.0,1,0.0,976.0,5,1,1,976,1708,3,1,Maj1,0,0,Detchd,1,380.0,3,3,Y,0,0,0,130000,2.3333333333332575,2.3333333333332575,2.0,0.0,0,1
1707,20,RL,13615,3,HLS,Corner,2,NridgHt,0,1Fam,1Story,9,5,Hip,4,Stone,510.0,3,PConc,3,4,1,0.0,1,0.0,1802.0,5,1,1,1802,1802,3,1,Typ,1,4,Attchd,3,843.0,3,3,Y,158,0,0,372000,1.5,1.5,2.0,1.0,0,1
2428,120,RL,3013,4,Lvl,Inside,1,Blmngtn,0,TwnhsE,1Story,7,5,Gable,2,BrkFace,145.0,3,PConc,3,4,6,16.0,1,0.0,1346.0,5,1,1,1506,1506,2,1,Typ,1,4,Attchd,3,440.0,3,3,Y,142,0,0,213490,1.3333333333332575,1.3333333333332575,2.0,0.0,0,1
242,20,RL,17485,2,Lvl,Inside,1,Edwards,0,1Fam,1Story,7,5,Gable,2,Stone,96.0,3,PConc,3,4,6,1346.0,1,0.0,162.0,5,1,1,1508,1508,1,1,Typ,2,3,Attchd,2,572.0,3,3,Y,0,0,0,308030,1.0833333333332575,0.08333333333325754,2.0,0.0,0,0
1564,20,RL,23730,2,Lvl,Inside,1,Mitchel,0,1Fam,1Story,7,5,Gable,4,BrkFace,668.0,3,PConc,3,2,6,700.0,1,0.0,1140.0,5,1,1,2032,2032,3,1,Typ,0,0,Attchd,3,786.0,3,3,Y,0,0,0,300000,12.75,11.75,4.0,0.0,0,1
2613,20,RL,8910,4,Lvl,Corner,1,NAmes,0,1Fam,1Story,6,6,Hip,3,None,0.0,3,CBlock,3,2,5,655.0,1,0.0,0.0,5,1,1,1194,1194,3,1,Typ,1,2,BuiltIn,3,539.0,3,3,Y,0,0,0,159500,47.58333333333326,47.58333333333326,1.0,1.0,0,1
2832,160,RM,2522,4,Lvl,Inside,1,Edwards,0,Twnhs,2Story,7,5,Gable,2,Stone,50.0,3,PConc,3,1,1,0.0,1,0.0,970.0,5,1,1,970,1709,3,1,Maj1,0,0,Detchd,1,380.0,3,3,Y,0,0,0,137500,2.3333333333332575,2.3333333333332575,2.0,0.0,0,1
2459,20,RL,8688,4,Lvl,Inside,1,Somerst,0,1Fam,1Story,7,5,Gable,2,BrkFace,228.0,3,PConc,3,3,1,0.0,1,0.0,1616.0,5,1,1,1616,1616,3,1,Typ,0,0,Attchd,2,834.0,3,3,Y,208,0,0,232000,1.3333333333332575,1.3333333333332575,2.0,0.0,0,1
1360,30,RM,6291,3,Lvl,Inside,1,IDOTRR,0,1Fam,1Story,6,6,Gable,1,None,0.0,4,BrkTil,3,1,1,0.0,1,0.0,768.0,3,1,1,768,768,1,1,Typ,0,0,Detchd,1,440.0,3,3,N,0,0,0,93850,78.58333333333326,58.58333333333326,1.0,0.0,0,1
2723,30,RL,17529,4,Lvl,Inside,1,Sawyer,0,1Fam,1Story,5,5,Gable,1,Stone,65.0,3,BrkTil,3,1,1,0.0,1,0.0,872.0,2,0,0,872,872,2,1,Mod,1,4,Detchd,1,322.0,2,2,N,0,0,0,105000,82.33333333333326,56.33333333333326,1.0,0.0,0,1
1350,30,RM,6324,3,Lvl,Inside,1,BrkSide,0,1Fam,1Story,4,6,Gable,4,None,0.0,3,BrkTil,3,1,1,0.0,1,0.0,520.0,2,0,1,520,520,1,1,Typ,0,0,Detchd,1,240.0,2,3,Y,49,0,0,68500,81.41666666666674,58.41666666666674,1.0,0.0,0,1
136,90,RL,11600,4,Lvl,Corner,1,NAmes,0,Duplex,2Story,5,5,Gable,4,BrkFace,361.0,3,CBlock,3,1,3,443.0,1,0.0,662.0,3,1,0,1105,2274,5,2,Typ,0,0,Detchd,1,480.0,3,3,Y,0,0,0,154300,50.08333333333326,50.08333333333326,2.0,0.0,0,0
2235,50,RM,7288,4,Lvl,Inside,1,IDOTRR,0,1Fam,1.5Fin,5,7,Gable,2,None,0.0,4,BrkTil,1,1,1,0.0,1,0.0,936.0,5,1,1,936,1601,3,1,Typ,0,0,NA,0,0.0,0,0,N,0,0,0,129850,82.75,4.75,2.0,0.0,0,1
1993,70,RM,4571,4,Lvl,Inside,1,OldTown,0,1Fam,2Story,5,7,Gable,4,None,0.0,3,BrkTil,3,1,4,168.0,1,0.0,448.0,5,1,1,616,1232,3,1,Typ,0,0,Detchd,1,480.0,2,2,Y,280,0,0,114000,97.5,57.5,1.0,0.0,0,1
367,20,RL,17423,3,Lvl,CulDSac,1,StoneBr,0,1Fam,1Story,9,5,Hip,2,Stone,748.0,3,PConc,3,1,6,1904.0,1,0.0,312.0,5,1,1,2234,2234,1,1,Typ,1,4,Attchd,3,1166.0,3,3,Y,0,0,1,501837,1.5833333333332575,0.5833333333332575,3.0,0.0,0,1
1309,50,RM,12665,3,Lvl,Inside,1,OldTown,0,1Fam,1.5Fin,5,8,Gable,1,None,0.0,3,BrkTil,3,2,1,0.0,1,0.0,876.0,4,1,1,876,1416,4,1,Typ,1,4,Detchd,1,720.0,3,3,Y,418,0,0,153900,93.5,58.5,1.0,1.0,0,1
